t (s), X (px), Y (px), theta (deg), GoalX (px), GoalY (px)
9.500676155090332, 145, 105, 38, 192, 120
9.502552270889282, 145, 105, 38, 192, 120
9.504294157028198, 145, 105, 38, 192, 120
9.505513429641724, 145, 105, 38, 192, 120
9.506648540496826, 145, 105, 38, 192, 120
9.507776737213135, 145, 105, 38, 192, 120
9.509353637695312, 145, 105, 38, 192, 120
9.510442018508911, 145, 105, 38, 192, 120
9.511358976364136, 145, 105, 38, 192, 120
9.512300252914429, 145, 105, 38, 192, 120
9.513261079788208, 145, 105, 38, 192, 120
9.514156818389893, 145, 105, 38, 192, 120
9.515069484710693, 145, 105, 38, 192, 120
9.51608419418335, 145, 105, 38, 192, 120
9.517411231994629, 145, 105, 38, 192, 120
9.518507480621338, 145, 105, 38, 192, 120
9.52152156829834, 145, 105, 38, 192, 120
9.545306921005249, 146, 105, 70, 192, 120
9.546560525894165, 146, 105, 70, 192, 120
9.547819375991821, 146, 105, 70, 192, 120
9.549059391021729, 146, 105, 70, 192, 120
9.551410913467407, 146, 105, 70, 192, 120
9.553766965866089, 146, 105, 70, 192, 120
9.563841342926025, 146, 105, 70, 192, 120
9.566231727600098, 146, 105, 70, 192, 120
9.570338487625122, 146, 108, 54, 192, 120
9.586305141448975, 146, 108, 54, 192, 120
9.591069459915161, 146, 108, 54, 192, 120
9.593116283416748, 146, 108, 54, 192, 120
9.596665382385254, 146, 108, 54, 192, 120
9.597932577133179, 146, 108, 54, 192, 120
9.59921145439148, 146, 108, 54, 192, 120
9.600410461425781, 146, 108, 54, 192, 120
9.612494707107544, 148, 109, 43, 192, 120
9.615285634994507, 148, 109, 43, 192, 120
9.617753028869629, 148, 109, 43, 192, 120
9.619898796081543, 148, 109, 43, 192, 120
9.64345097541809, 148, 109, 43, 192, 120
9.644776105880737, 148, 109, 43, 192, 120
9.64655613899231, 146, 109, 37, 192, 120
9.648208618164062, 146, 109, 37, 192, 120
9.649235248565674, 146, 109, 37, 192, 120
9.65025806427002, 146, 109, 37, 192, 120
9.651166677474976, 146, 109, 37, 192, 120
9.6532301902771, 146, 109, 37, 192, 120
9.655098915100098, 146, 109, 37, 192, 120
9.656262874603271, 146, 109, 37, 192, 120
9.658731698989868, 146, 109, 37, 192, 120
9.66590690612793, 146, 109, 37, 192, 120
9.67115306854248, 146, 109, 37, 192, 120
9.674152851104736, 146, 109, 37, 192, 120
9.693625211715698, 148, 112, 43, 192, 120
9.69596791267395, 148, 112, 43, 192, 120
9.697120666503906, 148, 112, 43, 192, 120
9.698064804077148, 148, 112, 43, 192, 120
9.699625015258789, 148, 112, 43, 192, 120
9.700702905654907, 148, 112, 43, 192, 120
9.702165365219116, 148, 112, 43, 192, 120
9.703065633773804, 148, 112, 43, 192, 120
9.703964471817017, 148, 112, 43, 192, 120
9.710366010665894, 148, 112, 43, 192, 120
9.722536563873291, 148, 112, 43, 192, 120
9.72463059425354, 148, 112, 43, 192, 120
9.743482828140259, 148, 112, 43, 192, 120
9.745776414871216, 148, 112, 43, 192, 120
9.74677848815918, 148, 112, 43, 192, 120
9.747721195220947, 148, 112, 43, 192, 120
9.748636722564697, 148, 112, 43, 192, 120
9.749547243118286, 148, 112, 43, 192, 120
9.75055193901062, 148, 112, 43, 192, 120
9.751408815383911, 148, 112, 43, 192, 120
9.752293825149536, 148, 112, 43, 192, 120
9.753183126449585, 148, 112, 43, 192, 120
9.754119157791138, 148, 112, 43, 192, 120
9.755696535110474, 148, 112, 43, 192, 120
9.758420944213867, 148, 112, 43, 192, 120
9.75963830947876, 148, 112, 43, 192, 120
9.760815143585205, 148, 112, 43, 192, 120
9.761735916137695, 148, 112, 43, 192, 120
9.763887166976929, 148, 112, 43, 192, 120
9.771324396133423, 150, 115, 35, 192, 120
9.775668382644653, 150, 115, 35, 192, 120
9.778644800186157, 150, 115, 35, 192, 120
9.780958652496338, 150, 115, 35, 192, 120
9.785619258880615, 150, 115, 35, 192, 120
9.789046049118042, 150, 115, 35, 192, 120
9.799304485321045, 150, 115, 35, 192, 120
9.802302360534668, 150, 115, 35, 192, 120
